qseqid	tool	Protein names	Gene Ontology (GO)	EC number	Pfam
tr|I9LC57|I9LC57_9FIRM	UPIMAPI	Desulfoferrodoxin ferrous iron-binding region	iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]		PF01880;
tr|I9B541|I9B541_9FIRM	UPIMAPI	Aldehyde oxidase and xanthine dehydrogenase molybdopterin binding protein	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]		PF01315;PF00111;PF01799;PF02738;PF20256;
tr|I9ABI9|I9ABI9_9BACE	UPIMAPI	SusD/RagB family nutrient-binding outer membrane lipoprotein			PF12771;
tr|I7LIY3|I7LIY3_METBM	UPIMAPI	Putative tungstate transport system substrate-binding protein			PF12849;
tr|I7K7D0|I7K7D0_9CLOT	UPIMAPI	Uncharacterized protein			PF12635;
tr|I7DA89|I7DA89_SALER	UPIMAPI	Arylsulfatase	arylsulfatase activity [GO:0004065]		PF00884;
tr|I7A3Y0|I7A3Y0_MELRP	UPIMAPI	Pyruvate:ferredoxin oxidoreductase subunit alpha	4 iron, 4 sulfur cluster binding [GO:0051539]; iron ion binding [GO:0005506]; oxidoreductase activity, acting on the aldehyde or oxo group of donors [GO:0016903]; thiamine pyrophosphate binding [GO:0030976]; electron transport chain [GO:0022900]; response to oxidative stress [GO:0006979]		PF10371;PF12838;PF17147;PF01558;PF01855;PF02775;
tr|I6XGE8|I6XGE8_9CAUD	UPIMAPI	Virion associated protein			
tr|I5C1K3|I5C1K3_9BACT	UPIMAPI	Peptidase S8 and S53 subtilisin kexin sedolisin	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF00082;PF18962;
tr|I5B4X9|I5B4X9_9BACT	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	5.6.1.7	PF00118;
tr|I4CD46|I4CD46_DESTA	UPIMAPI	Acyl-CoA dehydrogenase	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]		PF00441;PF02770;PF02771;
tr|I4CBF8|I4CBF8_DESTA	UPIMAPI	Coenzyme F420-reducing hydrogenase, delta subunit	iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]		PF02662;
tr|I4CBF5|I4CBF5_DESTA	UPIMAPI	Coenzyme F420-reducing hydrogenase, delta subunit	iron-sulfur cluster binding [GO:0051536]; oxidoreductase activity [GO:0016491]		PF02662;
tr|I4CA52|I4CA52_DESTA	UPIMAPI	Acyl-CoA dehydrogenase	acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]		PF00441;PF02770;PF02771;
tr|I4C6E3|I4C6E3_DESTA	UPIMAPI	propanoyl-CoA C-acyltransferase (EC 2.3.1.176) (Propanoyl-CoA C-acyltransferase)	acyltransferase activity, transferring groups other than amino-acyl groups [GO:0016747]; lipid binding [GO:0008289]; lipid transport [GO:0006869]	2.3.1.176	PF22691;PF00108;
tr|I4C4L6|I4C4L6_DESTA	UPIMAPI	Aerobic-type carbon monoxide dehydrogenase, large subunit CoxL/CutL-like protein	2 iron, 2 sulfur cluster binding [GO:0051537]; iron ion binding [GO:0005506]; oxidoreductase activity [GO:0016491]		PF01315;PF00111;PF01799;PF02738;PF20256;
tr|I4C1A4|I4C1A4_DESTA	UPIMAPI	Acetoacetate decarboxylase	lyase activity [GO:0016829]		PF06314;
tr|I4BZ67|I4BZ67_ACEMN	UPIMAPI	ABC-type Fe3+ transport system, periplasmic component	outer membrane-bounded periplasmic space [GO:0030288]; thiamine binding [GO:0030975]; thiamine pyrophosphate binding [GO:0030976]; thiamine transport [GO:0015888]		PF13343;
tr|I4BX69|I4BX69_ACEMN	UPIMAPI	Pyruvate/2-oxoglutarate dehydrogenase complex, dehydrogenase component beta subunit	oxidoreductase activity [GO:0016491]		PF02779;PF02780;
tr|I4BUX4|I4BUX4_ACEMN	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	5.6.1.7	PF00118;
tr|I4A4E0|I4A4E0_DESDJ	UPIMAPI	Carbon dioxide concentrating mechanism/carboxysome shell protein	bacterial microcompartment [GO:0031469]		PF00936;
tr|I3ZIX2|I3ZIX2_TERRK	UPIMAPI	Putative collagen-binding protein	cell outer membrane [GO:0009279]		PF13620;
tr|I3ZEB8|I3ZEB8_TERRK	UPIMAPI	Carboxypeptidase regulatory-like domain-containing protein	cell outer membrane [GO:0009279]		PF13620;
tr|I3ZCW8|I3ZCW8_TERRK	UPIMAPI	TonB-dependent receptor family protein	cell outer membrane [GO:0009279]; carbohydrate binding [GO:0030246]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;PF07715;
tr|I3ZBA7|I3ZBA7_TERRK	UPIMAPI	Outer membrane receptor protein	cell outer membrane [GO:0009279]		PF13620;PF07715;
tr|I3WKF3|I3WKF3_BIFBI	UPIMAPI	Metal dependent phosphohydrolase	hydrolase activity [GO:0016787]		PF01966;
tr|I3VVV5|I3VVV5_THESW	UPIMAPI	ABC transporter periplasmic protein	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|I3NUN5|I3NUN5_PLOBU	UPIMAPI	Ribosomal protein S3	mitochondrion [GO:0005739]; ribonucleoprotein complex [GO:1990904]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; translation [GO:0006412]		PF00189;
tr|I3JEI9|I3JEI9_ORENI	UPIMAPI	Myosin light chain kinase	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; protein kinase activity [GO:0004672]		PF00041;PF07679;PF00069;
tr|I3I6E9|I3I6E9_9GAMM	UPIMAPI	Putative protease	serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF10633;PF00082;
tr|I3CL05|I3CL05_9GAMM	UPIMAPI	Porin domain-containing protein	membrane [GO:0016020]; porin activity [GO:0015288]		PF13609;
tr|I3C1H9|I3C1H9_9FLAO	UPIMAPI	TonB-linked outer membrane protein, SusC/RagA family	cell outer membrane [GO:0009279]		PF13715;PF07715;PF00593;
tr|I2PXU6|I2PXU6_9BACT	UPIMAPI	Alcohol dehydrogenase, class IV	alcohol dehydrogenase (NAD+) activity [GO:0004022]; metal ion binding [GO:0046872]		PF00465;
tr|I2PXQ9|I2PXQ9_9BACT	UPIMAPI	NADH:ubiquinone oxidoreductase, NADH-binding (51 kD) subunit	4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]		PF01512;PF13237;PF10589;
tr|I2GKZ5|I2GKZ5_9BACT	UPIMAPI	Colicin I receptor	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13715;PF07715;PF00593;
tr|I2F718|I2F718_9BACT	UPIMAPI	ABC-type sugar transport system, periplasmic component	cell envelope [GO:0030313]; carbohydrate binding [GO:0030246]		PF13407;
tr|I2F4X0|I2F4X0_9BACT	UPIMAPI	DUF3798 domain-containing protein			PF12683;
tr|I2F2P3|I2F2P3_9BACT	UPIMAPI	Sugar ABC transporter substrate-binding protein	cell envelope [GO:0030313]		PF13416;
tr|I2F2A0|I2F2A0_9BACT	UPIMAPI	ABC-type dipeptide transport system, periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|I2F1Z3|I2F1Z3_9BACT	UPIMAPI	ABC-type dipeptide transport system, periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|I1TK77|I1TK77_9MOLU	UPIMAPI	DNA-directed RNA polymerase beta subunit	DNA-directed RNA polymerase complex [GO:0000428]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; DNA-templated transcription [GO:0006351]		PF04561;
tr|I1T4P5|I1T4P5_9ROSI	UPIMAPI	ROP4 (Small GTPase) (Rac3)	GTP binding [GO:0005525]; GTPase activity [GO:0003924]; small GTPase-mediated signal transduction [GO:0007264]		PF00071;
tr|I1DSM8|I1DSM8_9GAMM	UPIMAPI	Collagenolytic subtilisin-like serine protease	extracellular space [GO:0005615]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF02225;PF00082;PF04151;
tr|I0Z730|I0Z730_COCSC	UPIMAPI	Ketoacyl-synt-domain-containing protein	(3R)-hydroxyacyl-[acyl-carrier-protein] dehydratase activity [GO:0019171]; [acyl-carrier-protein] S-acetyltransferase activity [GO:0004313]; [acyl-carrier-protein] S-malonyltransferase activity [GO:0004314]; fatty acid synthase activity [GO:0004312]; oxidoreductase activity [GO:0016491]; phosphopantetheine binding [GO:0031177]; fatty acid biosynthetic process [GO:0006633]; phenol-containing compound biosynthetic process [GO:0046189]; secondary metabolite biosynthetic process [GO:0044550]		PF08240;PF13602;PF00109;PF02801;PF08659;PF08242;PF21089;PF00550;PF14765;PF00975;
tr|I0Z0P2|I0Z0P2_COCSC	UPIMAPI	Protein kinase domain-containing protein	cytoplasm [GO:0005737]; membrane [GO:0016020]; ATP binding [GO:0005524]; protein kinase activity [GO:0004672]		PF00560;PF08263;PF00069;
tr|I0XB92|I0XB92_9SPIR	UPIMAPI	Formylmethanofuran dehydrogenase subunit C	cell outer membrane [GO:0009279]; extracellular region [GO:0005576]		PF13229;
tr|I0UVT1|I0UVT1_9MICC	UPIMAPI	Glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.-)	glyceraldehyde-3-phosphate dehydrogenase (NAD+) (phosphorylating) activity [GO:0004365]; NAD binding [GO:0051287]; NADP binding [GO:0050661]; glucose metabolic process [GO:0006006]	1.2.1.-	PF02800;PF00044;
tr|I0JRL0|I0JRL0_HALH3	UPIMAPI	S8/S53 family peptidase	extracellular region [GO:0005576]; membrane [GO:0016020]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF06280;PF02225;PF00082;PF00395;
tr|I0IKN4|I0IKN4_LEPFC	UPIMAPI	PEP-CTERM protein-sorting domain-containing protein			PF07589;
tr|I0I6K1|I0I6K1_CALAS	UPIMAPI	Bidirectional hydrogenase F subunit	4 iron, 4 sulfur cluster binding [GO:0051539]; FMN binding [GO:0010181]; metal ion binding [GO:0046872]; NADH dehydrogenase (ubiquinone) activity [GO:0008137]		PF01257;PF01512;PF10589;
tr|I0I1K6|I0I1K6_CALAS	UPIMAPI	Putative oligopeptide ABC transporter oligopeptide binding protein			
tr|I0I103|I0I103_CALAS	UPIMAPI	Purine nucleoside phosphorylase (EC 2.4.2.1) (Inosine-guanosine phosphorylase)	cytoplasm [GO:0005737]; purine-nucleoside phosphorylase activity [GO:0004731]; nucleoside metabolic process [GO:0009116]	2.4.2.1	PF01048;
tr|I0I0I6|I0I0I6_CALAS	UPIMAPI	Chaperone protein ClpB	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cellular response to heat [GO:0034605]; protein refolding [GO:0042026]		PF00004;PF07724;PF17871;PF02861;PF10431;
tr|I0I052|I0I052_CALAS	UPIMAPI	CARDB domain-containing protein			
tr|I0HZS3|I0HZS3_CALAS	UPIMAPI	Putative ABC transporter substrate binding protein	ATP-binding cassette (ABC) transporter complex, substrate-binding subunit-containing [GO:0055052]; carbohydrate transmembrane transporter activity [GO:0015144]; maltose binding [GO:1901982]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]		PF13416;
tr|I0HYT2|I0HYT2_CALAS	UPIMAPI	Hsp20/alpha crystallin family protein			PF00011;
tr|I0BK35|I0BK35_9BACL	UPIMAPI	ABC transporter substrate-binding protein			
tr|I0ALK3|I0ALK3_IGNAJ	UPIMAPI	Aminoacylhistidine dipeptidase	cytosol [GO:0005829]; metallodipeptidase activity [GO:0070573]; proteolysis [GO:0006508]		PF07687;PF01546;
tr|I0AKM4|I0AKM4_IGNAJ	UPIMAPI	Choice-of-anchor D domain-containing protein			PF22073;PF07675;
tr|I0AKB8|I0AKB8_IGNAJ	UPIMAPI	Fibronectin type III domain protein			
tr|I0AK44|I0AK44_IGNAJ	UPIMAPI	Type IX secretion system protein PorV domain-containing protein			PF19572;
tr|I0AK42|I0AK42_IGNAJ	UPIMAPI	phospholipase D (EC 3.1.4.4)	RNA endonuclease activity, producing 5'-phosphomonoesters [GO:0016891]; lipid catabolic process [GO:0016042]; phosphorus metabolic process [GO:0006793]	3.1.4.4	PF13091;PF18962;
tr|I0AJM9|I0AJM9_IGNAJ	UPIMAPI	Bacillopeptidase F	serine-type endopeptidase activity [GO:0004252]; cell-matrix adhesion [GO:0007160]; proteolysis [GO:0006508]		PF00041;PF06119;PF00082;PF18962;
tr|I0AGU1|I0AGU1_IGNAJ	UPIMAPI	Outer membrane receptor protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13715;PF00593;
tr|H9UC07|H9UC07_FERPD	UPIMAPI	Probable 2,3-bisphosphoglycerate-independent phosphoglycerate mutase (BPG-independent PGAM) (Phosphoglyceromutase) (aPGAM) (EC 5.4.2.12)	metal ion binding [GO:0046872]; phosphoglycerate mutase activity [GO:0004619]; glycolytic process [GO:0006096]	5.4.2.12	PF01676;PF10143;
tr|H9UAD6|H9UAD6_FERPD	UPIMAPI	von Willebrand factor type A-like protein			
tr|H9U9H4|H9U9H4_FERPD	UPIMAPI	Putative ABC-type transport system, periplasmic component/surface lipoprotein	plasma membrane [GO:0005886]		PF02608;
tr|H9TKM2|H9TKM2_SALET	UPIMAPI	Plasmid transfer ATPase TraJ	ATP hydrolysis activity [GO:0016887]		PF00437;
tr|H9TJW2|H9TJW2_SALET	UPIMAPI	Phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase	transferase activity [GO:0016740]		PF01507;
tr|H9TJQ6|H9TJQ6_SALET	UPIMAPI	Aerobactin siderophore biosynthesis protein IucA	membrane [GO:0016020]; acid-amino acid ligase activity [GO:0016881]; siderophore biosynthetic process [GO:0019290]		PF06276;PF04183;
tr|H8ZXG3|H8ZXG3_9EUGL	UPIMAPI	Elongation factor Tu, chloroplastic (EF-Tu)	chloroplast [GO:0009507]; mitochondrion [GO:0005739]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; translation elongation factor activity [GO:0003746]; mitochondrial translational elongation [GO:0070125]		PF00009;PF03144;PF03143;
tr|H8MQY3|H8MQY3_CORCM	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	5.6.1.7	PF00118;
tr|H8MEU3|H8MEU3_CORCM	UPIMAPI	Ig-like domain-containing protein			PF13948;PF07995;
tr|H8IAP7|H8IAP7_METCZ	UPIMAPI	ABC-type dipeptide transport system, periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|H8I8V8|H8I8V8_METCZ	UPIMAPI	PKD repeat-containing protein	membrane [GO:0016020]		PF07705;PF11824;PF18911;
tr|H7FMD0|H7FMD0_FLAFP	UPIMAPI	Pesticidal crystal protein Cry22Aa Ig-like domain-containing protein			PF16403;
tr|H5XUX6|H5XUX6_9FIRM	UPIMAPI	Acyl-CoA dehydrogenase	plasma membrane [GO:0005886]; flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]		PF00441;PF12806;PF02770;PF02771;
tr|H5SQE7|H5SQE7_ACEAU	UPIMAPI	Peptide/nickel transport system substrate-binding protein	membrane [GO:0016020]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|H5SPT3|H5SPT3_9BACT	UPIMAPI	Aminopeptidase	aminopeptidase activity [GO:0004177]; serine-type endopeptidase activity [GO:0004252]; proteolysis [GO:0006508]		PF00326;
tr|H5SKV0|H5SKV0_9ZZZZ	UPIMAPI	Glutamate dehydrogenase (NAD(P)+)	glutamate dehydrogenase (NAD+) activity [GO:0004352]; glutamate catabolic process [GO:0006538]		PF00208;PF02812;
tr|H5SHN9|H5SHN9_9CHLR	UPIMAPI	Chaperone protein DnaK (HSP70) (Heat shock 70 kDa protein) (Heat shock protein 70)	ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; unfolded protein binding [GO:0051082]		PF00012;
tr|H5SFF1|H5SFF1_9BACT	UPIMAPI	Hypothetical conserved protein	cell outer membrane [GO:0009279]; siderophore uptake transmembrane transporter activity [GO:0015344]		PF13620;
tr|H5SBE9|H5SBE9_9CHLR	UPIMAPI	Hypothetical conserved protein			PF19493;
tr|H5SAJ5|H5SAJ5_9CHLR	UPIMAPI	Single-stranded DNA-binding protein (SSB)	nucleoid [GO:0009295]; single-stranded DNA binding [GO:0003697]; DNA recombination [GO:0006310]; DNA repair [GO:0006281]; DNA replication [GO:0006260]		PF00436;
tr|H3SJF0|H3SJF0_9BACL	UPIMAPI	Family 5 extracellular solute-binding protein	peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|H3K2E4|H3K2E4_METSH	UPIMAPI	coenzyme-B sulfoethylthiotransferase (EC 2.8.4.1)	coenzyme-B sulfoethylthiotransferase activity [GO:0050524]; metal ion binding [GO:0046872]; methanogenesis [GO:0015948]	2.8.4.1	PF02249;PF02745;
tr|H2J5U7|H2J5U7_MARPK	UPIMAPI	Anti-sigma factor antagonist	anti-sigma factor antagonist activity [GO:0043856]		PF01740;
tr|H2J467|H2J467_MARPK	UPIMAPI	ABC-type dipeptide transport system, periplasmic component	ATP-binding cassette (ABC) transporter complex [GO:0043190]; periplasmic space [GO:0042597]; peptide transmembrane transporter activity [GO:1904680]; peptide transport [GO:0015833]		PF00496;
tr|H2J318|H2J318_MARPK	UPIMAPI	5'-nucleotidase/2',3'-cyclic phosphodiesterase-like hydrolase	outer membrane-bounded periplasmic space [GO:0030288]; 5'-nucleotidase activity [GO:0008253]; nucleotide binding [GO:0000166]; UDP-sugar diphosphatase activity [GO:0008768]; nucleotide catabolic process [GO:0009166]		PF02872;PF00149;
tr|H2EIF6|H2EIF6_MALDO	UPIMAPI	Homocysteine s-methytransferase	S-adenosylmethionine-homocysteine S-methyltransferase activity [GO:0008898]; zinc ion binding [GO:0008270]; methionine biosynthetic process [GO:0009086]; methylation [GO:0032259]; S-methylmethionine cycle [GO:0033528]		PF02574;
tr|H2CF33|H2CF33_9LEPT	UPIMAPI	Flagellin	periplasmic flagellum [GO:0055040]; structural molecule activity [GO:0005198]		PF00700;PF00669;
tr|H2CBF1|H2CBF1_9LEPT	UPIMAPI	Flagellin	periplasmic flagellum [GO:0055040]; structural molecule activity [GO:0005198]		PF00700;PF00669;
tr|H2BX39|H2BX39_GILLR	UPIMAPI	Laminin G sub domain 2	hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]		PF23237;PF13385;PF13573;
tr|H1YXH1|H1YXH1_9EURY	UPIMAPI	Tetrahydromethanopterin S-methyltransferase, subunit H (EC 2.1.1.86)	methyltransferase activity [GO:0008168]; methylation [GO:0032259]; one-carbon metabolic process [GO:0006730]	2.1.1.86	PF02007;
tr|H1XYF8|H1XYF8_CALAY	UPIMAPI	Nucleic acid binding OB-fold tRNA/helicase-type (Por secretion system C-terminal sorting domain-containing protein)	helicase activity [GO:0004386]		PF18942;PF18962;
tr|H1XX94|H1XX94_CALAY	UPIMAPI	Nucleic acid binding OB-fold tRNA/helicase-type (Por secretion system C-terminal sorting domain-containing protein)	helicase activity [GO:0004386]		PF18942;PF13860;
tr|H0USJ8|H0USJ8_9BACT	UPIMAPI	ABC-type branched-chain amino acid transport system, periplasmic component			PF13458;
tr|H0UR29|H0UR29_9BACT	UPIMAPI	DUF3798 domain-containing protein			PF12683;
tr|H0UQE1|H0UQE1_9BACT	UPIMAPI	Chaperonin GroEL (EC 5.6.1.7) (60 kDa chaperonin) (Chaperonin-60) (Cpn60)	cytoplasm [GO:0005737]; ATP binding [GO:0005524]; ATP-dependent protein folding chaperone [GO:0140662]; isomerase activity [GO:0016853]; unfolded protein binding [GO:0051082]; protein refolding [GO:0042026]	5.6.1.7	PF00118;
tr|H0UK06|H0UK06_9BACT	UPIMAPI	Adenosine specific kinase			PF04008;
tr|H0UJ41|H0UJ41_9BACT	UPIMAPI	TRAP transporter solute receptor, TAXI family			PF16868;
tr|G9XCY3|G9XCY3_9FIRM	UPIMAPI	Copper amine oxidase-like N-terminal domain-containing protein			PF07833;
tr|G9LNI9|G9LNI9_9ASPA	UPIMAPI	DNA-directed RNA polymerase subunit (EC 2.7.7.6)	chloroplast [GO:0009507]; DNA-directed RNA polymerase complex [GO:0000428]; mitochondrion [GO:0005739]; DNA binding [GO:0003677]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; plastid single subunit type RNA polymerase activity [GO:0001066]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]	2.7.7.6	PF04997;PF00623;
tr|G8UM80|G8UM80_TANFA	UPIMAPI	Peptidase C13 family	cytoplasm [GO:0005737]; cysteine-type endopeptidase activity [GO:0004197]; proteolysis [GO:0006508]		PF01650;PF19408;PF18962;
tr|G8R3G4|G8R3G4_OWEHD	UPIMAPI	BNR/Asp-box repeat protein			PF18962;
tr|G8R3D9|G8R3D9_OWEHD	UPIMAPI	MAM domain-containing protein	membrane [GO:0016020]; hydrolase activity, hydrolyzing O-glycosyl compounds [GO:0004553]; carbohydrate metabolic process [GO:0005975]		PF20773;PF00629;PF18962;
tr|G8QYD3|G8QYD3_SPHPG	UPIMAPI	ABC-type sugar transport system, periplasmic component	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; carbohydrate binding [GO:0030246]		PF13407;
